Player Name,Team Name,Span,Matches,Innings,Balls Bowled,Overs,Runs,Wickets,Best Bowling in Innings,Maidens,Bowling Average,Economy Rate,Strike Rate,4,5,Dream 11 Points,Player,Role
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HV Patel,PBKS,2024,14,14,294,49,477,24,3/15,0,19.87,9.73,12.25,0,0,714,HV Patel,Bowler
CV Varun,KKR,2024,15,14,300,50,402,21,3/16,0,19.14,8.04,14.28,0,0,626,CV Varun,Bowler
JJ Bumrah,MI,2024,13,13,311,51.5,336,20,5/21,0,16.8,6.48,15.55,0,1,616,JJ Bumrah,Bowler
AD Russell,KKR,2024,15,14,176,29.2,295,19,3/19,0,15.52,10.05,9.26,0,0,564,AD Russell,All Rounder
Harshit Rana,KKR,2024,13,11,253,42.1,383,19,3/24,1,20.15,9.08,13.31,0,0,576,Harshit Rana,Bowler
T Natarajan,SRH,2024,14,14,308,51.2,465,19,4/19,1,24.47,9.05,16.21,1,0,584,T Natarajan,Bowler
Arshdeep Singh,PBKS,2024,14,14,302,50.2,505,19,4/29,0,26.57,10.03,15.89,1,0,572,Arshdeep Singh,Bowler
Avesh Khan,RR,2024,16,15,329,54.5,526,19,3/27,0,27.68,9.59,17.31,0,0,564,Avesh Khan,Bowler
YS Chahal,RR,2024,15,15,348,58,546,18,3/11,0,30.33,9.41,19.33,0,0,534,YS Chahal,Bowler
PJ Cummins,SRH,2024,16,16,366,61,566,18,3/43,1,31.44,9.27,20.33,0,0,546,PJ Cummins,Bowler
Mukesh Kumar,DC,2024,10,10,213,35.3,368,17,3/14,0,21.64,10.36,12.52,0,0,504,Mukesh Kumar,Bowler
SP Narine,KKR,2024,15,14,330,55,368,17,2/22,0,21.64,6.69,19.41,0,0,510,SP Narine,All Rounder
TU Deshpande,CSK,2024,13,13,288,48,424,17,4/27,0,24.94,8.83,16.94,1,0,514,TU Deshpande,Bowler
MA Starc,KKR,2024,14,13,251,41.5,444,17,4/33,0,26.11,10.61,14.76,1,0,512,MA Starc,Bowler
KK Ahmed,DC,2024,14,14,300,50,479,17,2/21,2,28.17,9.58,17.64,0,0,528,KK Ahmed,Bowler
Kuldeep Yadav,DC,2024,11,11,258,43,372,16,4/55,0,23.25,8.65,16.12,1,0,484,Kuldeep Yadav,Bowler
SM Curran,PBKS,2024,13,13,246,41,416,16,3/28,0,26,10.14,15.37,0,0,474,SM Curran,All Rounder
TA Boult,RR,2024,16,15,320,53.2,443,16,3/22,0,27.68,8.3,20,0,0,476,TA Boult,Bowler
Yash Dayal,RCB,2024,14,14,301,50.1,459,15,3/20,0,30.6,9.14,20.06,0,0,444,Yash Dayal,Bowler
Mohammed Siraj,RCB,2024,14,14,324,54,496,15,3/43,0,33.06,9.18,21.6,0,0,444,Mohammed Siraj,Bowler
Mustafizur Rahman,CSK,2024,9,9,206,34.2,318,14,4/29,1,22.71,9.26,14.71,1,0,434,Mustafizur Rahman,Bowler
Naveen-ul-Haq,LSG,2024,10,10,219,36.3,372,14,3/49,0,26.57,10.19,15.64,0,0,414,Naveen-ul-Haq,Bowler
